,tweet,product_,emotion,lemmatizer_tweets,textblob_polarity,textblob_subjectivity,vs_neg,vs_neu,vs_pos,vs_compound
28,"['new', '4sq3', 'looks', 'like', 'is', 'going', 'rock', 'Update', 'iPhone', 'Android', 'push', 'tonight', 'http', 'bit', 'ly', 'etsbZk', 'SXSW', 'KeepAustinWeird']",iPad or iPhone App,1,new 4sq3 look like is going rock Update iPhone Android push tonight http bit ly etsbZk SXSW KeepAustinWeird ,0.13636363636363635,0.45454545454545453,0.0,0.724,0.276,0.7269
29,"['were', 'right', 'gowalla', '3', 'app', 'android', 'sweeeeet', 'Nice', 'job', 'the', 'team', 'sxsw']",Android App,1,were right gowalla 3 app android sweeeeet Nice job the team sxsw ,0.44285714285714284,0.7678571428571428,0.0,0.797,0.203,0.4215
30,"['smart', 'madebymany', 'hollergram', 'iPad', 'app', 'sxsw', 'http', 'co', 'A3xvWc6', 'may', 'leave', 'vuvuzela', 'home']",iPad or iPhone App,1,smart madebymany hollergram iPad app sxsw http co A3xvWc6 may leave vuvuzela home ,0.21428571428571427,0.6428571428571429,0.081,0.738,0.181,0.3612
31,"['must', 'this', 'app', 'your', 'iPad', 'you', 'going', 'SXSW', 'http', 'itunes', 'apple', 'com', 'us', 'app', 'holler', 'gram', 'id420666439', 'mt', '8', 'hollergram']",iPad or iPhone App,1,must this app your iPad you going SXSW http itunes apple com u app holler gram id420666439 mt 8 hollergram ,0.0,0.0,0.0,1.0,0.0,0.0
32,"['Attn', 'SXSW', 'frineds', 'mention', 'Register', 'GDGTLive', 'see', 'Cobra', 'iRadar', 'Android', 'link']",Unknown,3,Attn SXSW frineds mention Register GDGTLive see Cobra iRadar Android link ,0.0,0.0,0.0,1.0,0.0,0.0
33,"['Anyone', 'sxsw', 'want', 'sell', 'old', 'iPad']",Unknown,3,Anyone sxsw want sell old iPad ,0.1,0.2,0.0,0.794,0.206,0.0772
34,"['Anyone', 'SXSW', 'bought', 'new', 'iPad', 'want', 'sell', 'older', 'iPad', 'me']",Unknown,3,Anyone SXSW bought new iPad want sell older iPad me ,0.1515151515151515,0.3939393939393939,0.0,0.874,0.126,0.0772
35,"['sxsw', 'Oooh', 'RT', 'mention', 'Google', 'Launch', 'Major', 'New', 'Social', 'Network', 'Called', 'Circles', 'Possibly', 'Today', 'link']",Unknown,3,sxsw Oooh RT mention Google Launch Major New Social Network Called Circles Possibly Today link ,0.05804924242424242,0.5053030303030304,0.0,1.0,0.0,0.0
36,"['best', 'RT', 'mention', 'Ha', 'First', 'line', 'ipad2', 'sxsw', 'quot', 'pop', 'quot', 'Apple', 'store', 'an', 'event', 'planner', 'eventprofs', 'pcma', 'engage365']",iPad,1,best RT mention Ha First line ipad2 sxsw quot pop quot Apple store an event planner eventprofs pcma engage365 ,0.625,0.31666666666666665,0.0,0.72,0.28,0.765
37,"['SPIN', 'Play', 'new', 'concept', 'music', 'discovery', 'your', 'iPad', 'mention', 'amp', 'spin', 'com', 'link', 'iTunes', 'sxsw', 'mention']",Unknown,3,SPIN Play new concept music discovery your iPad mention amp spin com link iTunes sxsw mention ,0.13636363636363635,0.45454545454545453,0.0,0.862,0.138,0.34
38,"['mention', 'False', 'Alarm', 'Google', 'Circles', 'Coming', 'and', 'Probably', 'Ever', 'link', 'Google', 'Circles', 'Social', 'SXSW']",Google,0,mention False Alarm Google Circles Coming and Probably Ever link Google Circles Social SXSW ,-0.18333333333333338,0.3333333333333333,0.156,0.844,0.0,-0.34
39,"['VatorNews', 'Google', 'Apple', 'Force', 'Print', 'Media', 'Evolve', 'link', 'sxsw']",Unknown,3,VatorNews Google Apple Force Print Media Evolve link sxsw ,0.0,0.0,0.0,1.0,0.0,0.0
40,"['mention', 'Great', 'weather', 'greet', 'for', 'sxsw', 'Still', 'need', 'sweater', 'night', 'Apple', 'putting', 'quot', 'flash', 'store', 'quot', 'downtown', 'sell', 'iPad2']",Apple,1,mention Great weather greet for sxsw Still need sweater night Apple putting quot flash store quot downtown sell iPad2 ,0.8,0.75,0.0,0.726,0.274,0.7506
41,"['HootSuite', 'HootSuite', 'Mobile', 'SXSW', 'Updates', 'iPhone', 'BlackBerry', 'amp', 'Android', 'Whether', 're', 'getting', 'friend', 'link']",Unknown,3,HootSuite HootSuite Mobile SXSW Updates iPhone BlackBerry amp Android Whether re getting friend link ,0.0,0.0,0.0,0.802,0.198,0.4939
42,"['Hey', 'SXSW', 'long', 'think', 'takes', 'us', 'make', 'iPhone', 'case', 'answer', 'mention', 'using', 'zazzlesxsw', 'we', 'make', 'you', 'one']",Unknown,3,Hey SXSW long think take u make iPhone case answer mention using zazzlesxsw we make you one ,-0.05,0.4,0.0,1.0,0.0,0.0
43,"['Mashable', 'iPad', '2', 'Takes', 'SXSW', 'VIDEO', 'ipad', 'sxsw', 'gadgets', 'link']",Unknown,3,Mashable iPad 2 Takes SXSW VIDEO ipad sxsw gadget link ,0.0,0.0,0.0,1.0,0.0,0.0
44,"['I', 'Pad', 'RT', 'mention', 'New', 'UberSocial', 'iPhone', 'in', 'App', 'Store', 'includes', 'UberGuide', 'SXSW', 'sponsored', 'link']",Unknown,3,I Pad RT mention New UberSocial iPhone in App Store includes UberGuide SXSW sponsored link ,0.13636363636363635,0.45454545454545453,0.0,1.0,0.0,0.0
45,"['IPad2', 'SmartCover', 'Opens', 'Instant', 'Access', 'should', 'waited', 'get', 'one', 'link', 'apple', 'SXSW']",iPad or iPhone App,1,IPad2 SmartCover Opens Instant Access should waited get one link apple SXSW ,0.0,0.6666666666666666,0.0,1.0,0.0,0.0
46,"['Hand', 'Held', 'Hobo', 'Drafthouse', 'launches', 'Hobo', 'a', 'Shotgun', 'iPhone', 'app', 'SXSW', 'link']",Unknown,1,Hand Held Hobo Drafthouse launch Hobo a Shotgun iPhone app SXSW link ,0.0,0.0,0.0,0.775,0.225,0.4939
47,"['HOORAY', 'RT', 'mention', 'Apple', 'Opening', 'Pop', 'Store', 'Austin', 'SXSW', 'mention', 'link']",Apple,1,HOORAY RT mention Apple Opening Pop Store Austin SXSW mention link ,0.0,0.0,0.0,0.713,0.287,0.6166
48,"['Orly', 'mention', 'Google', 'set', 'launch', 'new', 'social', 'network', 'Circles', 'today', 'sxsw']",Unknown,3,Orly mention Google set launch new social network Circles today sxsw ,0.08484848484848484,0.2606060606060606,0.0,1.0,0.0,0.0
49,"['wooooo', 'mention', 'Apple', 'store', 'downtown', 'Austin', 'open', 'til', 'Midnight', 'sxsw']",Apple,1,wooooo mention Apple store downtown Austin open til Midnight sxsw ,0.0,0.5,0.0,1.0,0.0,0.0
50,"['Khoi', 'Vinh', 'mention', 'says', 'Conde', 'Nast', 'headlong', 'rush', 'iPad', 'publishing', 'a', 'quot', 'fundamental', 'misunderstanding', 'quot', 'the', 'platform', 'sxsw']",Unknown,3,Khoi Vinh mention say Conde Nast headlong rush iPad publishing a quot fundamental misunderstanding quot the platform sxsw ,0.0,0.0,0.141,0.859,0.0,-0.4215
51,"['mention', 'link', 'lt', 'HELP', 'FORWARD', 'DOC', 'all', 'Anonymous', 'accounts', 'techies', 'amp', 'ppl', 'can', 'help', 'us', 'JAM', 'libya', 'SXSW']",Unknown,3,mention link lt HELP FORWARD DOC all Anonymous account techie amp ppl can help u JAM libya SXSW ,0.0,0.0,0.0,0.723,0.277,0.7297
52,"['link', 'edchat', 'musedchat', 'sxsw', 'sxswi', 'classical', 'newTwitter']",Unknown,3,link edchat musedchat sxsw sxswi classical newTwitter ,0.0,0.0,0.0,1.0,0.0,0.0
53,"['mention', 'mention', 'the', 'location', 'based', 'fast', 'fun', 'future', 'link', 'via', 'mention', 'sxsw']",Unknown,3,mention mention the location based fast fun future link via mention sxsw ,0.16666666666666666,0.30833333333333335,0.0,0.769,0.231,0.5106
54,"['mention', 'mention', 'Google', 'Connect', 'Digital', 'amp', 'Physical', 'Worlds', 'Mobile', 'link', 'sxsw', 'mention']",Unknown,3,mention mention Google Connect Digital amp Physical Worlds Mobile link sxsw mention ,0.0,0.07142857142857142,0.0,1.0,0.0,0.0
55,"['mention', 'mention', 'talking', 'link', 'Google', 'effort', 'allow', 'users', 'have', 'open', 'systems', 'bettercloud', 'sxsw']",Google,1,mention mention talking link Google effort allow user have open system bettercloud sxsw ,0.0,0.5,0.0,0.863,0.137,0.2263
56,"['link', 'RT', 'mention', 'quot', 'Google', 'you', 'tweet', 'quot', 'the', 'new', 'quot', 'think', 'you', 'speak', 'quot', 'Mark', 'Belinsky', '911tweets', 'panel', 'SXSW']",Unknown,3,link RT mention quot Google you tweet quot the new quot think you speak quot Mark Belinsky 911tweets panel SXSW ,0.13636363636363635,0.45454545454545453,0.0,1.0,0.0,0.0
57,"['link', 'RT', 'mention', '1st', 'stop', 'the', 'SXSW', 'Chaos', 'amp', 'mention', 'hunt', 'Austin', 'Java', 'Get', 'the', 'spy', 'game', '4', 'chance', '2', 'win', 'iPad']",iPad,1,link RT mention 1st stop the SXSW Chaos amp mention hunt Austin Java Get the spy game 4 chance 2 win iPad ,0.2,0.4,0.199,0.606,0.195,-0.0258
58,"['link', 'RT', 'mention', 'at', 'SXSW', 'check', 'the', 'Holler', 'Gram', 'ipad', 'app', 'mention', 'link']",Unknown,3,link RT mention at SXSW check the Holler Gram ipad app mention link ,0.0,0.0,0.0,1.0,0.0,0.0
59,"['mention', 'mention', 'amp', 'mention', 'fun', 'google', 'pic', 'SXSW', 'link']",Unknown,3,mention mention amp mention fun google pic SXSW link ,0.3,0.2,0.0,0.708,0.292,0.5106
60,"['quot', 'via', 'mention', 'link', 'Guy', 'Kawasaki', 'talks', 'Enchanted', 'SXSW', 'knows', 'stuff', 'books', 'internet', 'Apple', 'sxsw', 'quot']",Unknown,3,quot via mention link Guy Kawasaki talk Enchanted SXSW know stuff book internet Apple sxsw quot ,0.0,0.0,0.0,0.852,0.148,0.3818
61,"['futuremf', 'mention', 'link', 'spec', 'recipes', 'the', 'web', 'in', 'google', 'search', 'link', 'sxsw']",Unknown,3,futuremf mention link spec recipe the web in google search link sxsw ,0.0,0.0,0.0,1.0,0.0,0.0
62,"['OMFG', 'RT', 'mention', 'Heard', 'Apple', 'pop', 'store', 'downtown', 'Austin', 'Pics', 'already', 'Gowalla', 'link', 'sxsw', 'iPad2']",Apple,1,OMFG RT mention Heard Apple pop store downtown Austin Pics already Gowalla link sxsw iPad2 ,0.0,0.0,0.0,1.0,0.0,0.0
63,"['Smile', 'RT', 'mention', 'think', 'Apple', 'quot', 'pop', 'store', 'quot', 'Austin', 'would', 'a', 'lot', 'interesting', 'it', 'actually', 'know', 'popped', 'sxsw']",Apple,3,Smile RT mention think Apple quot pop store quot Austin would a lot interesting it actually know popped sxsw ,0.26666666666666666,0.2333333333333333,0.0,0.766,0.234,0.6369
64,"['RT', 'mention', 'Line', 'the', 'Apple', 'store', 'insane', 'sxsw']",Unknown,0,RT mention Line the Apple store insane sxsw ,-1.0,1.0,0.278,0.722,0.0,-0.4019
65,"['Agree', 'RT', 'mention', 'Wait', 'FIONA', 'APPLE', 'in', 'town', 'Somebody', 'kidnap', 'and', 'put', 'in', 'recording', 'studio', 'she', 'records', 'new', 'album', 'sxsw']",Unknown,3,Agree RT mention Wait FIONA APPLE in town Somebody kidnap and put in recording studio she record new album sxsw ,0.13636363636363635,0.45454545454545453,0.0,0.884,0.116,0.3612
66,"['sxsw', 'mention', 'mention', 'wanna', 'buy', 'a', 'drink', '7pm', 'Fado', '4th', 'link', 'Join', 'us']",Unknown,3,sxsw mention mention wanna buy a drink 7pm Fado 4th link Join u ,0.0,0.0,0.0,0.845,0.155,0.296
67,"['attending', 'mention', 'iPad', 'design', 'headaches', 'sxsw', 'link']",iPad,0,attending mention iPad design headache sxsw link ,0.0,0.0,0.0,1.0,0.0,0.0
68,"['Boooo', 'RT', 'mention', 'Flipboard', 'developing', 'iPhone', 'version', 'Android', 'says', 'mention', 'sxsw']",Unknown,0,Boooo RT mention Flipboard developing iPhone version Android say mention sxsw ,0.0,0.0,0.0,1.0,0.0,0.0
69,"['Check', 'mention', 'mention', 'amp', 'mention', 'line', 'their', 'iPad', '2', 'Austin', 'Power', 'them', 'sxswi', 'SXSW', 'link']",iPad,1,Check mention mention amp mention line their iPad 2 Austin Power them sxswi SXSW link ,0.0,0.0,0.0,1.0,0.0,0.0
70,"['Check', 'RT', 'mention', 'giving', 'added', 'value', 'location', 'based', 'services', 'needs', 'battle', 'check', 'fatigue', 'google', 'pnid', 'sxsw']",Unknown,3,Check RT mention giving added value location based service need battle check fatigue google pnid sxsw ,0.0,0.0,0.215,0.561,0.224,0.0516
71,"['Chilcott', 'mention', 'SXSW', 'stand', 'talking', 'Blogger', 'staff', 'late', 'win', 'competition', 'best', 'tweet', 'mentioning', 'mention', 'no', 'shirt']",Unknown,3,Chilcott mention SXSW stand talking Blogger staff late win competition best tweet mentioning mention no shirt ,0.5,0.43333333333333335,0.095,0.56,0.345,0.7783
72,"['it', 'RT', 'mention', 'Come', 'party', 'w', 'Google', 'tonight', 'sxsw', 'link', 'Bands', 'food', 'art', 'ice', 'cream', 'nifty', 'interactive', 'maps']",Google,1,it RT mention Come party w Google tonight sxsw link Bands food art ice cream nifty interactive map ,0.0,0.0,0.0,0.748,0.252,0.6597
73,"['Gowalla', 'mention', 'promises', 'launch', 'Foursquare', 'check', 'Groupon', 'rewards', 'type', 'service', 'SXSW', 'Finger', 'crossed', 'link']",Unknown,3,Gowalla mention promise launch Foursquare check Groupon reward type service SXSW Finger crossed link ,0.0,0.0,0.0,0.667,0.333,0.7184
74,"['Ha', 'ha', 'RT', 'mention', 'SXSW', 'News', 'Yahoo', 'com', 'loosing', 'search', 'traffic', 'new', 'site', 'Google', 'com', 'Doubt', 'will', 'last', 'tho', 'w', 'weird', 'name']",Unknown,3,Ha ha RT mention SXSW News Yahoo com loosing search traffic new site Google com Doubt will last tho w weird name ,-0.12121212121212122,0.5070707070707071,0.156,0.667,0.178,0.1531
75,"['Holla', 'RT', 'mention', 'google', 'party', 'Best', 'ever', 'Get', 'butt', 'here', 'sxsw']",Google,1,Holla RT mention google party Best ever Get butt here sxsw ,1.0,0.3,0.0,0.566,0.434,0.7845
76,"['love', 'mention', 'iPhone', 'case', 'Sxsw', 'I', 't', 'get', 'phone', 'of', 'fail']",iPhone,1,love mention iPhone case Sxsw I t get phone of fail ,0.0,0.44999999999999996,0.21,0.539,0.251,0.1779
77,"['worship', 'mention', 'link', 'SXSW']",Unknown,3,worship mention link SXSW ,0.0,0.0,0.0,0.577,0.423,0.296
78,"['iPad2', 'RT', 'mention', 'Droid', 'amp', 'Mac', 'RT', 'mention', 'agnerd', 'confession', 'using', 'laptop', 'iPad', 'amp', 'blackberry', 'follow', 'SXSW']",Unknown,3,iPad2 RT mention Droid amp Mac RT mention agnerd confession using laptop iPad amp blackberry follow SXSW ,0.0,0.0,0.0,1.0,0.0,0.0
79,"['Launching', 'mention', 'SxSW', 'RT', 'mention', 'mention', 'Denies', 'Social', 'Network', 'Called', 'Circles', 'Debut', 'Today', 'Despite', 'Report', 'link']",Unknown,3,Launching mention SxSW RT mention mention Denies Social Network Called Circles Debut Today Despite Report link ,0.03333333333333333,0.06666666666666667,0.157,0.843,0.0,-0.4215
80,"['New', 'Post', 'mention', 'iPhone', 'app', 'makes', 'easy', 'connect', 'all', 'social', 'networks', 'people', 'meet', 'link', 'sxsw']",iPad or iPhone App,1,New Post mention iPhone app make easy connect all social network people meet link sxsw ,0.201010101010101,0.4515151515151515,0.0,0.828,0.172,0.4404
81,"['Nice', 'mention', 'iPhone', 'app', 'behaving', 'today', 'Crashes', 'yesterday', 'ridiculous', 'sxsw']",iPad or iPhone App,1,Nice mention iPhone app behaving today Crashes yesterday ridiculous sxsw ,0.13333333333333333,1.0,0.188,0.602,0.211,0.0772
82,"['Nice', 'RT', 'mention', 'Apple', 'opening', 'popup', 'store', 'iPad', 'launch', 'downtown', 'Austin', 'SXSW', 'link', 'via', 'mention']",Unknown,3,Nice RT mention Apple opening popup store iPad launch downtown Austin SXSW link via mention ,0.6,1.0,0.0,0.833,0.167,0.4215
83,"['Nice', 'RT', 'mention', 'Hey', 'Apple', 'fans', 'Get', 'peek', 'the', 'space', 's', 'slated', 'be', 'pop', 'SXSW', 'Apple', 'Store', 'tomorrow', 'link']",Apple,1,Nice RT mention Hey Apple fan Get peek the space s slated be pop SXSW Apple Store tomorrow link ,0.6,1.0,0.0,0.769,0.231,0.6249
84,"['one', 'thing', 'mention', 'doing', 'great', 'get', 'great', 'earth', 'face', 'to', 'Google', 'a', 'company', 'can', 'love', 'sxsw', 'sxwsi']",Google,1,one thing mention doing great get great earth face to Google a company can love sxsw sxwsi ,0.7000000000000001,0.7000000000000001,0.0,0.53,0.47,0.9246
85,"['Stay', 'tune', 'mention', 'showcase', 'H4ckers', 'link', 'SXSW']",Unknown,3,Stay tune mention showcase H4ckers link SXSW ,0.0,0.0,0.0,1.0,0.0,0.0
86,"['Thank', 'mention', 'mention', 'the', 'touchingstories', 'preso', 'SXSW', 's', 'deck', 'link']",Unknown,3,Thank mention mention the touchingstories preso SXSW s deck link ,0.0,0.0,0.0,0.783,0.217,0.3612
87,"['Thank', 'mention', 'an', 'awesome', 'sxsw', 'party', 'link']",Unknown,3,Thank mention an awesome sxsw party link ,1.0,1.0,0.0,0.301,0.699,0.8519
88,"['Thanks', 'RT', 'mention', 'you', 'trying', 'contact', 'friends', 'family', 'Japan', 'mention', 'created', 'person', 'finder', 'link', 'SXSW']",Unknown,3,Thanks RT mention you trying contact friend family Japan mention created person finder link SXSW ,0.2,0.2,0.0,0.597,0.403,0.7964
89,"['Thanks', 'mention', 'her', 'mention', 'our', 'new', 'Speech', 'iPad', 'apps', 'showcased', 'the', 'SXSW', 'Conf', 'link', 'sxswh', 'sxsh']",iPad or iPhone App,1,Thanks mention her mention our new Speech iPad apps showcased the SXSW Conf link sxswh sxsh ,0.16818181818181818,0.32727272727272727,0.0,0.838,0.162,0.4404
90,"['Thanks', 'mention', 'publishing', 'news', 'mention', 'new', 'medical', 'Apps', 'the', 'sxswi', 'conf', 'blog', 'link', 'sxsw', 'sxswh']",Unknown,4,Thanks mention publishing news mention new medical Apps the sxswi conf blog link sxsw sxswh ,0.11212121212121212,0.21818181818181817,0.0,0.828,0.172,0.4404
91,"['Thanks', 'mention', 'publishing', 'news', 'our', 'new', 'medical', 'Apps', 'the', 'sxswi', 'conf', 'blog', 'link', 'sxsw', 'sxswh', 'mhealth']",Unknown,3,Thanks mention publishing news our new medical Apps the sxswi conf blog link sxsw sxswh mhealth ,0.11212121212121212,0.21818181818181817,0.0,0.838,0.162,0.4404
92,"['mention', 'SXSW', 'not', 'provide', 'iPhone', 'chargers', 've', 'changed', 'mind', 'going', 'next', 'year']",iPhone,0,mention SXSW not provide iPhone charger ve changed mind going next year ,0.0,0.0,0.0,1.0,0.0,0.0
