,tweet,product_,emotion,lemmatizer_tweets,textblob_polarity,textblob_subjectivity,vs_neg,vs_neu,vs_pos,vs_compound,nrc_sentiment,gi_sentiment,henry_sentiment,huliu_sentiment,jockers_sentiment,lm_sentiment,senticnet_sentiment,sentiword_sentiment,socal_sentiment
14,"['great', 'sxsw', 'ipad', 'app', 'madebymany', 'http', 'tinyurl', 'com', '4nqv92l']",iPad or iPhone App,1,great sxsw ipad app madebymany http tinyurl com 4nqv92l ,0.8,0.75,0.0,0.661,0.339,0.6249,0.0,1.0,0.0,1.0,0.5,1.0,0.857,0.0,2.1977865385
15,"['haha', 'awesomely', 'rad', 'ipad', 'app', 'madebymany', 'http', 'bit', 'ly', 'htdfim', 'hollergram', 'sxsw']",iPad or iPhone App,1,haha awesomely rad ipad app madebymany http bit ly htdfim hollergram sxsw ,0.6,0.65,0.0,0.602,0.398,0.765,0.0,-1.0,0.0,1.0,1.0,0.0,0.059,-0.125,2.841547331
16,"['holler', 'gram', 'ipad', 'itunes', 'app', 'store', 'http', 'co', 'kfn3f5q', 'marc_is_ken', 'sxsw']",Unknown,3,holler gram ipad itunes app store http co kfn3f5q marc_is_ken sxsw ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.672,-0.5,2.841547331
17,"['noticed', 'dst', 'coming', 'weekend', 'many', 'iphone', 'users', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morning', 'sxsw', 'iphone']",iPhone,0,noticed dst coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone ,0.1,0.55,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.25,-1.0,0.4265555555555556,0.19444444433333333,0.886058887
18,"['added', 'sxsw', 'flights', 'planely', 'matching', 'people', 'planes', 'airports', 'also', 'downloaded', 'klm', 'iphone', 'app', 'nicely', 'done']",iPad or iPhone App,1,added sxsw flight planely matching people plane airport also downloaded klm iphone app nicely done ,0.6,1.0,0.0,0.828,0.172,0.4404,0.0,0.0,0.0,1.0,1.0,0.0,0.1935,0.25,2.841547331
19,"['must', 'sxsw', 'app', 'rt', 'malbonster', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram', 'http', 'co', 'g4gzypv']",iPad or iPhone App,1,must sxsw app rt malbonster lovely review forbes sxsw ipad app holler gram http co g4gzypv ,0.5,0.75,0.0,0.798,0.202,0.5859,1.0,1.0,0.0,1.0,0.75,0.0,0.735,0.0625,2.16381532
20,"['need', 'buy', 'ipad2', 'austin', 'sxsw', 'sure', ""i'll"", 'need', 'austin', 'apple', 'store']",iPad,1,need buy ipad2 austin sxsw sure i'll need austin apple store ,0.5,0.8888888888888888,0.0,0.813,0.187,0.3182,1.4,0.2,1.8,1.8,1.8,1.8,0.17683333333333337,0.325,1.8
21,"['oh', 'god', 'sxsw', 'app', 'ipad', 'pure', 'unadulterated', 'awesome', 'easier', 'browse', 'events', 'ipad', 'website']",iPad or iPhone App,1,oh god sxsw app ipad pure unadulterated awesome easier browse event ipad website ,0.5380952380952381,0.7333333333333334,0.0,0.526,0.474,0.8402,1.0,1.0,0.0,1.0,0.7000000000000001,1.0,0.22683333333333336,-0.375,1.514494400666667
22,"['okay', 'really', 'yay', 'new', 'foursquare', 'android', 'app', '11', 'kthxbai', 'sxsw']",Android App,1,okay really yay new foursquare android app 11 kthxbai sxsw ,0.27878787878787875,0.38484848484848483,0.0,0.589,0.411,0.6801,1.8,1.8,1.8,1.4,1.3,1.8,0.8773333333333334,0.62708333325,2.0380198050000002
23,"['photo', 'installed', 'sxsw', 'iphone', 'app', 'really', 'nice', 'http', 'tumblr', 'com', 'x6t1pi6av7']",iPad or iPhone App,1,photo installed sxsw iphone app really nice http tumblr com x6t1pi6av7 ,0.6,1.0,0.0,0.764,0.236,0.4754,1.8,1.4,1.8,1.4,1.15,1.8,0.6763333333333333,1.8,2.614211243333333
24,"['really', 'enjoying', 'changes', 'gowalla', 'android', 'looking', 'forward', 'seeing', 'else', 'amp', 'foursquare', 'sleeves', 'sxsw']",Android App,1,really enjoying change gowalla android looking forward seeing else amp foursquare sleeve sxsw ,0.5,0.6,0.0,0.765,0.235,0.5709,1.2666666666666666,1.4,1.4,1.4,1.05,1.4,0.41275,0.4354166666666666,1.8
25,"['rt', 'laurieshook', 'looking', 'forward', 'smcdallas', 'pre', 'sxsw', 'party', 'wed', 'hoping', ""i'll"", 'win', 'ipad', 'resulting', 'shameless', 'promotion', 'chevysmc']",iPad,1,rt laurieshook looking forward smcdallas pre sxsw party wed hoping i'll win ipad resulting shameless promotion chevysmc ,0.8,0.4,0.097,0.526,0.377,0.7845,0.3333333333333333,0.0,0.0,0.0,0.33999999999999997,1.0,0.18316666666666662,0.0,-3.099726925
26,"['rt', 'haha', 'awesomely', 'rad', 'ipad', 'app', 'madebymany', 'http', 'bit', 'ly', 'htdfim', 'hollergram', 'sxsw', 'michaelpiliero']",iPad or iPhone App,1,rt haha awesomely rad ipad app madebymany http bit ly htdfim hollergram sxsw michaelpiliero ,0.6,0.65,0.0,0.645,0.355,0.765,0.0,-1.0,0.0,1.0,1.0,0.0,0.059,-0.125,2.841547331
27,"['someone', 'started', 'austin', 'partnerhub', 'group', 'google', 'groups', 'pre', 'sxsw', 'great', 'idea']",Other Google product or service,1,someone started austin partnerhub group google group pre sxsw great idea ,0.8,0.75,0.0,0.709,0.291,0.6249,0.0,1.0,0.0,1.0,0.5,1.0,0.2815,0.0,1.554025746
28,"['new', '4sq3', 'looks', 'like', 'going', 'rock', 'update', 'iphone', 'android', 'push', 'tonight', 'http', 'bit', 'ly', 'etsbzk', 'sxsw', 'keepaustinweird']",iPad or iPhone App,1,new 4sq3 look like going rock update iphone android push tonight http bit ly etsbzk sxsw keepaustinweird ,0.13636363636363635,0.45454545454545453,0.0,0.711,0.289,0.7269,1.0,-0.3333333333333333,0.0,1.0,0.65,0.0,0.17314285714285713,-0.07142857142857142,3.586298998
29,"['right', 'gowalla', 'app', 'android', 'sweeeeet', 'nice', 'job', 'team', 'sxsw']",Android App,1,right gowalla app android sweeeeet nice job team sxsw ,0.44285714285714284,0.7678571428571428,0.0,0.741,0.259,0.4215,1.0,1.0,0.0,1.0,0.65,0.0,0.20475,-0.015625,2.256835806333333
30,"['smart', 'madebymany', 'hollergram', 'ipad', 'app', 'sxsw', 'http', 'co', 'a3xvwc6', 'may', 'leave', 'vuvuzela', 'home']",iPad or iPhone App,1,smart madebymany hollergram ipad app sxsw http co a3xvwc6 may leave vuvuzela home ,0.21428571428571427,0.6428571428571429,0.081,0.738,0.181,0.3612,-1.0,1.0,0.0,1.0,0.125,0.0,-0.13424999999999998,-0.03125,1.7232167975000001
31,"['must', 'app', 'ipad', 'going', 'sxsw', 'http', 'itunes', 'apple', 'com', 'us', 'app', 'holler-gram', 'id420666439', 'mt', 'hollergram']",iPad or iPhone App,1,must app ipad going sxsw http itunes apple com u app holler-gram id420666439 mt hollergram ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3215,-0.375,2.841547331
32,"['attn', 'sxsw', 'frineds', 'mention', 'register', 'gdgtlive', 'see', 'cobra', 'iradar', 'android', 'link']",Unknown,3,attn sxsw frineds mention register gdgtlive see cobra iradar android link ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1608,0.2875,0.0
33,"['anyone', 'sxsw', 'want', 'sell', 'old', 'ipad']",Unknown,3,anyone sxsw want sell old ipad ,0.1,0.2,0.0,0.794,0.206,0.0772,0.0,0.0,0.0,0.0,0.0,0.0,-0.255,0.15625,1.227222289
34,"['anyone', 'sxsw', 'bought', 'new', 'ipad', 'want', 'sell', 'older', 'ipad']",Unknown,3,anyone sxsw bought new ipad want sell older ipad ,0.1515151515151515,0.3939393939393939,0.0,0.86,0.14,0.0772,0.0,0.0,0.0,0.0,0.8,0.0,0.519,0.048611111000000005,3.586298998
35,"['sxsw', 'oooh', 'rt', 'mention', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', 'link']",Unknown,3,sxsw oooh rt mention google launch major new social network called circle possibly today link ,0.05804924242424242,0.5053030303030304,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3666666666666667,0.0,0.3091111111111111,-0.05729166675,1.8686142666666667
36,"['best', 'rt', 'mention', 'ha', 'first', 'line', 'ipad2', 'sxsw', 'quot', 'pop-up', 'quot', 'apple', 'store', 'event', 'planner', 'eventprofs', 'pcma', 'engage365']",iPad,1,best rt mention ha first line ipad2 sxsw quot pop-up quot apple store event planner eventprofs pcma engage365 ,0.625,0.31666666666666665,0.0,0.708,0.292,0.765,1.0,1.0,1.0,1.0,0.5,1.0,0.31937499999999996,0.1875,4.3698259995
37,"['spin', 'play', 'new', 'concept', 'music', 'discovery', 'ipad', 'mention', 'amp', 'spin', 'com', 'link', 'itunes', 'sxsw', 'mention']",Unknown,3,spin play new concept music discovery ipad mention amp spin com link itunes sxsw mention ,0.13636363636363635,0.45454545454545453,0.0,0.854,0.146,0.34,1.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.35290000000000005,0.028645833250000002,3.586298998
38,"['mention', 'false', 'alarm', 'google', 'circles', 'coming', 'probably', 'ever', 'link', 'google', 'circles', 'social', 'sxsw']",Google,0,mention false alarm google circle coming probably ever link google circle social sxsw ,-0.18333333333333338,0.3333333333333333,0.167,0.833,0.0,-0.34,-1.0,-1.0,0.0,-1.0,-0.675,0.0,-0.01877777777777779,-0.04861111116666667,-0.005016536999999988
39,"['vatornews', 'google', 'apple', 'force', 'print', 'media', 'evolve', 'link', 'sxsw']",Unknown,3,vatornews google apple force print medium evolve link sxsw ,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.6,-1.0,0.05216666666666666,0.125,0.0
40,"['mention', 'great', 'weather', 'greet', 'sxsw', 'still', 'need', 'sweater', 'night', 'apple', 'putting', 'quot', 'flash', 'store', 'quot', 'downtown', 'sell', 'ipad2']",Apple,1,mention great weather greet sxsw still need sweater night apple putting quot flash store quot downtown sell ipad2 ,0.8,0.75,0.0,0.714,0.286,0.7506,1.0,0.3333333333333333,0.0,1.0,0.65,1.0,-0.08676923076923074,-0.07142857139999999,1.554025746
41,"['hootsuite', 'hootsuite', 'mobile', 'sxsw', 'updates', 'iphone', 'blackberry', 'amp', 'android', 'whether', 'getting', 'friend', 'link']",Unknown,3,hootsuite hootsuite mobile sxsw update iphone blackberry amp android whether getting friend link ,0.0,0.0,0.0,0.789,0.211,0.4939,1.0,1.0,0.0,0.0,0.8,0.0,0.2798,0.125,1.6183614480000001
42,"['sxsw', 'long', 'think', 'takes', 'us', 'make', 'iphone', 'case', 'answer', 'mention', 'using', 'zazzlesxsw', 'make', 'one']",Unknown,3,sxsw long think take u make iphone case answer mention using zazzlesxsw make one ,-0.05,0.4,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.04199999999999999,0.149702381,1.08357769
43,"['mashable', 'ipad2', 'takes', 'sxsw', 'video', 'ipad', 'sxsw', 'gadgets', 'link']",Unknown,3,mashable ipad2 take sxsw video ipad sxsw gadget link ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12966666666666668,-0.09375,3.021758125
44,"['i-pad', 'rt', 'mention', 'new', 'ubersocial', 'iphone', 'app', 'store', 'includes', 'uberguide', 'sxsw', 'sponsored', 'link']",Unknown,3,i-pad rt mention new ubersocial iphone app store includes uberguide sxsw sponsored link ,0.13636363636363635,0.45454545454545453,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.38525,-0.166666667,3.2139231645
45,"['ipad2', 'smartcover', 'opens', 'instant', 'access', 'waited', 'get', 'one', 'link', 'apple', 'sxsw']",iPad or iPhone App,1,ipad2 smartcover open instant access waited get one link apple sxsw ,0.0,0.5833333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19557142857142856,-0.24583333350000003,2.962840895
46,"['hand-held', 'hobo', 'drafthouse', 'launches', 'hobo', 'shotgun', 'iphone', 'app', 'sxsw', 'link']",Unknown,1,hand-held hobo drafthouse launch hobo shotgun iphone app sxsw link ,0.0,0.0,0.0,1.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,-0.17500000000000002,0.0,-0.42140000000000005,0.0,2.841547331
47,"['hooray', 'rt', 'mention', 'apple', 'opening', 'pop-up', 'store', 'austin', 'sxsw', 'mention', 'link']",Apple,1,hooray rt mention apple opening pop-up store austin sxsw mention link ,0.0,0.0,0.0,0.752,0.248,0.5106,1.0,0.0,0.0,1.0,0.0,0.0,0.05966666666666667,0.125,0.0
48,"['orly', 'mention', 'google', 'set', 'launch', 'new', 'social', 'network', 'circles', 'today', 'sxsw']",Unknown,3,orly mention google set launch new social network circle today sxsw ,0.08484848484848484,0.2606060606060606,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.35000000000000003,0.0,0.285625,-0.04083333339999999,2.1348321545
49,"['wooooo', 'mention', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight', 'sxsw']",Apple,1,wooooo mention apple store downtown austin open til midnight sxsw ,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21140000000000003,-0.41666666700000005,2.962840895
50,"['khoi', 'vinh', 'mention', 'says', 'conde', ""nast's"", 'headlong', 'rush', 'ipad', 'publishing', 'quot', 'fundamental', 'misunderstanding', 'quot', 'platform', 'sxsw']",Unknown,3,khoi vinh mention say conde nast's headlong rush ipad publishing quot fundamental misunderstanding quot platform sxsw ,0.0,0.0,0.157,0.843,0.0,-0.4215,0.0,-1.0,0.0,-1.0,-0.325,-1.0,-0.10714285714285714,-0.10416666675,0.0
51,"['mention', 'link', 'lt', 'help', 'forward', 'doc', 'anonymous', 'accounts', 'techies', 'amp', 'ppl', 'help', 'us', 'jam', 'libya', 'sxsw']",Unknown,3,mention link lt help forward doc anonymous account techie amp ppl help u jam libya sxsw ,0.0,0.0,0.0,0.722,0.278,0.6597,0.3333333333333333,1.0,0.0,-1.0,0.6,0.0,0.26185714285714284,-0.00347222233333333,0.0
52,"['link', 'edchat', 'musedchat', 'sxsw', 'sxswi', 'classical', 'newtwitter']",Unknown,3,link edchat musedchat sxsw sxswi classical newtwitter ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.084,0.25,3.367367479
53,"['mention', 'mention', 'location-based', 'fast', 'fun', 'future', 'link', 'mention', 'sxsw']",Unknown,3,mention mention location-based fast fun future link mention sxsw ,0.16666666666666666,0.30833333333333335,0.0,0.708,0.292,0.5106,1.0,1.0,0.0,1.0,0.75,0.0,0.12242857142857143,0.09375,0.0
54,"['mention', 'mention', 'google', 'connect', 'digital', 'amp', 'physical', 'worlds', 'mobile', 'link', 'sxsw', 'mention']",Unknown,3,mention mention google connect digital amp physical world mobile link sxsw mention ,0.0,0.07142857142857142,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.004777777777777768,0.0625,3.243022176
55,"['mention', 'mention', 'talking', 'link', ""google's"", 'effort', 'allow', 'users', 'open', 'systems', 'bettercloud', 'sxsw']",Google,1,mention mention talking link google's effort allow user open system bettercloud sxsw ,0.0,0.5,0.0,0.853,0.147,0.2263,1.0,1.0,0.0,0.0,0.25,0.0,0.06966666666666667,-0.09583333340000001,2.962840895
56,"['link', 'rt', 'mention', 'quot', 'google', 'tweet', 'quot', 'new', 'quot', 'think', 'speak', 'quot', 'mark', 'belinsky', '911tweets', 'panel', 'sxsw']",Unknown,3,link rt mention quot google tweet quot new quot think speak quot mark belinsky 911tweets panel sxsw ,0.13636363636363635,0.45454545454545453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.14200000000000002,0.09375,3.586298998
57,"['link', 'rt', 'mention', '1st', 'stop', 'sxsw', 'chaos', 'amp', 'mention', 'hunt', 'austin', 'java', 'get', 'spy', 'game', 'chance', 'win', 'ipad']",iPad,1,link rt mention 1st stop sxsw chaos amp mention hunt austin java get spy game chance win ipad ,0.2,0.4,0.23,0.545,0.226,-0.0258,-1.0,-0.5,0.0,0.0,-0.09999999999999998,1.0,0.03350000000000001,-0.022916666666666658,0.118575797
58,"['link', 'rt', 'mention', 'sxsw', 'check', 'holler', 'gram', 'ipad', 'app', 'mention', 'link']",Unknown,3,link rt mention sxsw check holler gram ipad app mention link ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1666666665,2.841547331
59,"['mention', 'mention', 'amp', 'mention', 'fun', 'google', 'pic', 'sxsw', 'link']",Unknown,3,mention mention amp mention fun google pic sxsw link ,0.3,0.2,0.0,0.708,0.292,0.5106,1.0,1.0,0.0,1.0,0.75,0.0,0.264,-0.020833333333333332,-0.43417222
60,"['quot', 'mention', 'link', 'guy', 'kawasaki', 'talks', 'enchanted', 'sxsw', 'knows', 'stuff', 'books', 'internet', 'apple', 'sxsw', 'quot']",Unknown,3,quot mention link guy kawasaki talk enchanted sxsw know stuff book internet apple sxsw quot ,0.0,0.0,0.0,0.843,0.157,0.3818,1.0,1.0,0.0,1.0,0.7,0.0,0.14533333333333334,0.046875,0.0
61,"['futuremf', 'mention', 'link', 'spec', 'recipes', 'web', 'google', 'search', 'link', 'sxsw']",Unknown,3,futuremf mention link spec recipe web google search link sxsw ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09340000000000001,-0.125,0.0
62,"['omfg', 'rt', 'mention', 'heard', ""apple's"", 'pop-up', 'store', 'downtown', 'austin', 'pics', 'already', 'gowalla', 'link', 'sxsw', 'ipad2']",Apple,1,omfg rt mention heard apple's pop-up store downtown austin pic already gowalla link sxsw ipad2 ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3076,0.125,-0.43417222
63,"['smile', 'rt', 'mention', 'think', ""apple's"", 'quot', 'pop-up', 'store', 'quot', 'austin', 'would', 'lot', 'interesting', 'actually', 'know', 'popped', 'sxsw']",Apple,3,smile rt mention think apple's quot pop-up store quot austin would lot interesting actually know popped sxsw ,0.26666666666666666,0.2333333333333333,0.0,0.743,0.257,0.6369,1.0,1.0,0.0,1.0,0.75,0.0,0.23025000000000007,0.21354166675,1.409389096
64,"['rt', 'mention', 'line', 'apple', 'store', 'insane', 'sxsw']",Unknown,0,rt mention line apple store insane sxsw ,-1.0,1.0,0.31,0.69,0.0,-0.4019,0.0,-1.0,0.0,-1.0,-0.75,0.0,0.21999999999999997,-0.125,-3.2046087360000004
65,"['agree', 'rt', 'mention', 'wait', 'fiona', 'apple', 'town', 'somebody', 'kidnap', 'put', 'recording', 'studio', 'records', 'new', 'album', 'sxsw']",Unknown,3,agree rt mention wait fiona apple town somebody kidnap put recording studio record new album sxsw ,0.13636363636363635,0.45454545454545453,0.0,0.857,0.143,0.3612,-0.3333333333333333,-1.0,1.0,0.0,0.1375,0.0,0.15439999999999998,0.0416666666,3.586298998
66,"['sxsw', 'mention', 'mention', 'wanna', 'buy', 'drink', '7pm', 'fado', '4th', 'link', 'join', 'us']",Unknown,3,sxsw mention mention wanna buy drink 7pm fado 4th link join u ,0.0,0.0,0.0,0.833,0.167,0.296,1.0,1.0,0.0,0.0,0.25,0.0,0.08016666666666668,-0.041666666666666664,0.0
67,"['attending', 'mention', 'ipad', 'design', 'headaches', 'sxsw', 'link']",iPad,0,attending mention ipad design headache sxsw link ,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-0.5,0.0,0.108,0.375,0.0
68,"['boooo', 'rt', 'mention', 'flipboard', 'developing', 'iphone', 'version', 'android', 'says', 'mention', 'sxsw']",Unknown,0,boooo rt mention flipboard developing iphone version android say mention sxsw ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4176000000000001,0.125,0.0
69,"['check', 'mention', 'mention', 'amp', 'mention', 'line', 'ipad2', 'austin', 'power', 'sxswi', 'sxsw', 'link']",iPad,1,check mention mention amp mention line ipad2 austin power sxswi sxsw link ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,-0.02777777766666667,0.0
70,"['check', 'rt', 'mention', 'giving', 'added', 'value', 'location', 'based', 'services', 'needs', 'battle', 'check-in', 'fatigue', 'google', 'pnid', 'sxsw']",Unknown,3,check rt mention giving added value location based service need battle check-in fatigue google pnid sxsw ,0.0,0.0,0.215,0.561,0.224,0.0516,-0.3333333333333333,-0.6,0.0,-1.0,-0.4166666666666667,0.0,0.14155555555555555,0.014583333399999999,0.0
71,"['chilcott', 'mention', 'sxsw', 'stand', 'talking', 'blogger', 'staff', 'late', 'win', 'competition', 'best', 'tweet', 'mentioning', 'mention', 't-shirt']",Unknown,3,chilcott mention sxsw stand talking blogger staff late win competition best tweet mentioning mention t-shirt ,0.5,0.43333333333333335,0.0,0.619,0.381,0.8402,-1.0,0.3333333333333333,1.0,1.0,0.125,0.3333333333333333,0.0987,0.07291666666666667,2.918077561
72,"['rt', 'mention', 'come', 'party', 'google', 'tonight', 'sxsw', 'link', 'bands', 'food', 'art', 'ice', 'cream', 'nifty', 'interactive', 'maps']",Google,1,rt mention come party google tonight sxsw link band food art ice cream nifty interactive map ,0.0,0.0,0.0,0.722,0.278,0.6597,1.0,1.0,0.0,1.0,0.5,0.0,0.12536363636363637,0.11458333325,0.0
73,"[""gowalla's"", 'mention', 'promises', 'launch', 'foursquare', 'check-in', 'groupon', 'rewards-type', 'service', 'sxsw', ""finger's"", 'crossed', 'link']",Unknown,3,gowalla's mention promise launch foursquare check-in groupon rewards-type service sxsw finger's crossed link ,0.0,0.0,0.0,0.839,0.161,0.3182,1.0,0.0,0.0,1.0,0.325,0.0,0.30579999999999996,0.25,0.0
